Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
19,75;23,01;61,45;2112;2112;2;0;1;1;1;0;14;0;0;4;0;0;0;0;17842176;1088;2112;2112;1;16;16;1;1;3,500;0,000
20,90;23,44;64,26;2176;2176;2;0;1;1;1;0;14;0;0;4;0;0;0;0;18939904;1088;2176;2176;1;16;16;1;1;3,500;0,000
21,39;25,57;67,41;2240;2240;2;0;1;1;1;0;14;0;0;4;0;0;0;0;20070400;1088;2240;2240;1;16;16;1;1;3,500;0,000
24,17;25,83;70,83;2304;2304;2;0;1;1;1;0;14;0;0;4;0;0;0;0;21233664;1088;2304;2304;1;16;16;1;1;3,500;0,000
23,51;27,48;74,80;2368;2368;2;0;1;1;1;0;14;0;0;4;0;0;0;0;22429696;1088;2368;2368;1;16;16;1;1;3,500;0,000
25,29;28,96;79,77;2432;2432;2;0;1;1;1;0;14;0;0;4;0;0;0;0;23658496;1088;2432;2432;1;16;16;1;1;3,500;0,000
25,56;30,50;84,53;2496;2496;2;0;1;1;1;0;14;0;0;4;0;0;0;0;24920064;1088;2496;2496;1;16;16;1;1;3,500;0,000
29,65;30,74;86,64;2560;2560;2;0;1;1;1;0;14;0;0;4;0;0;0;0;26214400;1088;2560;2560;1;16;16;1;1;3,500;0,000
27,78;33,01;91,92;2624;2624;2;0;1;1;1;0;14;0;0;4;0;0;0;0;27541504;1088;2624;2624;1;16;16;1;1;3,500;0,000
29,38;33,80;96,27;2688;2688;2;0;1;1;1;0;14;0;0;4;0;0;0;0;28901376;1088;2688;2688;1;16;16;1;1;3,500;0,000
30,22;35,84;100,78;2752;2752;2;0;1;1;1;0;14;0;0;4;0;0;0;0;30294016;1088;2752;2752;1;16;16;1;1;3,500;0,000
25,99;36,40;105,02;2816;2816;2;0;1;1;1;0;14;0;0;4;0;0;0;0;31719424;1088;2816;2816;1;16;16;1;1;3,500;0,000
32,81;39,18;111,41;2880;2880;2;0;1;1;1;0;14;0;0;4;0;0;0;0;33177600;1088;2880;2880;1;16;16;1;1;3,500;0,000
28,34;44,59;114,78;2944;2944;2;0;1;1;1;0;14;0;0;4;0;0;0;0;34668544;1088;2944;2944;1;16;16;1;1;3,500;0,000
28,33;47,58;123,04;3008;3008;2;0;1;1;1;0;14;0;0;4;0;0;0;0;36192256;1088;3008;3008;1;16;16;1;1;3,500;0,000
31,93;46,94;123,28;3072;3072;2;0;1;1;1;0;14;0;0;4;0;0;0;0;37748736;1088;3072;3072;1;16;16;1;1;3,500;0,000
30,53;51,08;132,25;3136;3136;2;0;1;1;1;0;14;0;0;4;0;0;0;0;39337984;1088;3136;3136;1;16;16;1;1;3,500;0,000
36,69;53,12;134,89;3200;3200;2;0;1;1;1;0;14;0;0;4;0;0;0;0;40960000;1088;3200;3200;1;16;16;1;1;3,500;0,000
37,25;54,79;142,36;3264;3264;2;0;1;1;1;0;14;0;0;4;0;0;0;0;42614784;1088;3264;3264;1;16;16;1;1;3,500;0,000
