Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Filter Width (elements);Filter Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
9,71;18,05;103,57;1472;1472;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;8785780;8667136;0;1472;1472;1;16;16;1;1;82,187;15,022
10,27;19,45;112,17;1536;1536;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;9560948;9437184;0;1536;1536;1;16;16;1;1;82,211;15,026
10,77;21,20;120,85;1600;1600;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;10368884;10240000;0;1600;1600;1;16;16;1;1;82,232;15,030
11,66;22,81;131,61;1664;1664;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;11209588;11075584;0;1664;1664;1;16;16;1;1;82,252;15,034
11,95;24,80;142,86;1728;1728;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;12083060;11943936;0;1728;1728;1;16;16;1;1;82,271;15,037
12,65;26,74;151,56;1792;1792;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;12989300;12845056;0;1792;1792;1;16;16;1;1;82,288;15,041
13,53;28,89;164,47;1856;1856;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;13928308;13778944;0;1856;1856;1;16;16;1;1;82,304;15,043
13,99;29,18;173,08;1920;1920;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;14900084;14745600;0;1920;1920;1;16;16;1;1;82,319;15,046
14,38;31,31;186,07;1984;1984;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;15904628;15745024;0;1984;1984;1;16;16;1;1;82,333;15,049
14,96;32,41;198,94;2048;2048;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;16941940;16777216;0;2048;2048;1;16;16;1;1;82,346;15,051
3,77;3,87;4,29;64;64;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;23780;16384;0;64;64;1;16;16;1;1;93,007;17,235
3,48;4,51;5,41;128;128;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;79076;65536;0;128;128;1;16;16;1;1;103,326;19,147
3,96;5,00;7,22;192;192;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;167140;147456;0;192;192;1;16;16;1;1;106,867;19,803
3,92;4,60;7,69;256;256;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;287972;262144;0;256;256;1;16;16;1;1;108,648;20,133
4,92;4,97;10,13;320;320;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;441572;409600;0;320;320;1;16;16;1;1;109,718;20,331
4,84;5,97;12,38;384;384;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;627940;589824;0;384;384;1;16;16;1;1;110,432;20,464
5,35;5,86;15,94;448;448;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;847076;802816;0;448;448;1;16;16;1;1;110,942;20,558
4,60;6,96;18,89;512;512;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;1098980;1048576;0;512;512;1;16;16;1;1;111,324;20,629
5,22;6,83;23,29;576;576;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;1383652;1327104;0;576;576;1;16;16;1;1;111,622;20,684
5,34;8,21;27,46;640;640;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;1701092;1638400;0;640;640;1;16;16;1;1;111,860;20,728
5,51;8,55;33,99;704;704;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;2051300;1982464;0;704;704;1;16;16;1;1;112,055;20,765
5,64;9,43;37,60;768;768;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;2434276;2359296;0;768;768;1;16;16;1;1;112,217;20,795
6,17;10,54;43,50;832;832;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;2850020;2768896;0;832;832;1;16;16;1;1;112,354;20,820
6,73;11,01;50,37;896;896;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;3298532;3211264;0;896;896;1;16;16;1;1;112,472;20,842
6,86;12,21;57,15;960;960;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;3779812;3686400;0;960;960;1;16;16;1;1;112,574;20,861
6,71;13,36;65,41;1024;1024;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;4293860;4194304;0;1024;1024;1;16;16;1;1;112,663;20,877
7,48;14,90;74,24;1088;1088;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;4840676;4734976;0;1088;1088;1;16;16;1;1;112,742;20,892
8,38;15,91;82,99;1152;1152;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;5420260;5308416;0;1152;1152;1;16;16;1;1;112,812;20,905
8,22;17,26;91,76;1216;1216;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;6032612;5914624;0;1216;1216;1;16;16;1;1;112,874;20,916
8,93;19,16;100,74;1280;1280;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;6677732;6553600;0;1280;1280;1;16;16;1;1;112,930;20,927
9,16;20,55;111,59;1344;1344;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;7355620;7225344;0;1344;1344;1;16;16;1;1;112,981;20,936
9,90;22,03;121,56;1408;1408;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;8066276;7929856;0;1408;1408;1;16;16;1;1;113,028;20,945
10,36;24,62;134,84;1472;1472;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;8809700;8667136;0;1472;1472;1;16;16;1;1;113,070;20,953
11,10;26,54;145,36;1536;1536;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;9585892;9437184;0;1536;1536;1;16;16;1;1;113,109;20,960
11,59;28,23;156,91;1600;1600;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;10394852;10240000;0;1600;1600;1;16;16;1;1;113,144;20,966
12,15;29,88;171,12;1664;1664;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;11236580;11075584;0;1664;1664;1;16;16;1;1;113,177;20,973
13,36;32,25;183,76;1728;1728;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;12111076;11943936;0;1728;1728;1;16;16;1;1;113,208;20,978
13,38;34,39;197,00;1792;1792;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;13018340;12845056;0;1792;1792;1;16;16;1;1;113,236;20,983
13,74;37,49;212,02;1856;1856;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;13958372;13778944;0;1856;1856;1;16;16;1;1;113,263;20,988
14,51;40,44;228,30;1920;1920;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;14931172;14745600;0;1920;1920;1;16;16;1;1;113,287;20,993
15,23;42,39;241,88;1984;1984;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;15936740;15745024;0;1984;1984;1;16;16;1;1;113,310;20,997
16,51;45,05;258,34;2048;2048;13;13;0;169;1;0;0;169;912;0;0;0;0;0;0;16975076;16777216;0;2048;2048;1;16;16;1;1;113,332;21,001
3,50;3,99;4,09;64;64;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;25236;16384;0;64;64;1;16;16;1;1;118,294;22,143
3,95;4,37;6,40;128;128;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;81556;65536;0;128;128;1;16;16;1;1;133,886;25,062
4,22;4,36;7,31;192;192;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;170644;147456;0;192;192;1;16;16;1;1;139,297;26,075
4,47;4,88;8,57;256;256;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;292500;262144;0;256;256;1;16;16;1;1;142,027;26,586
4,49;5,38;12,64;320;320;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;447124;409600;0;320;320;1;16;16;1;1;143,669;26,893
4,56;5,68;14,57;384;384;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;634516;589824;0;384;384;1;16;16;1;1;144,765;27,098
4,71;6,70;18,82;448;448;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;854676;802816;0;448;448;1;16;16;1;1;145,549;27,245
4,55;6,72;22,94;512;512;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;1107604;1048576;0;512;512;1;16;16;1;1;146,137;27,355
5,23;7,84;29,88;576;576;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;1393300;1327104;0;576;576;1;16;16;1;1;146,594;27,441
6,01;8,50;34,33;640;640;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;1711764;1638400;0;640;640;1;16;16;1;1;146,960;27,509
5,60;9,84;40,28;704;704;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;2062996;1982464;0;704;704;1;16;16;1;1;147,259;27,565
5,64;10,83;49,03;768;768;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;2446996;2359296;0;768;768;1;16;16;1;1;147,508;27,612
5,67;11,91;58,76;832;832;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;2863764;2768896;0;832;832;1;16;16;1;1;147,719;27,651
6,18;13,78;64,50;896;896;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;3313300;3211264;0;896;896;1;16;16;1;1;147,900;27,685
6,75;15,20;73,54;960;960;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;3795604;3686400;0;960;960;1;16;16;1;1;148,057;27,715
7,27;16,16;84,94;1024;1024;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;4310676;4194304;0;1024;1024;1;16;16;1;1;148,194;27,740
7,14;17,77;92,46;1088;1088;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;4858516;4734976;0;1088;1088;1;16;16;1;1;148,315;27,763
7,63;19,93;103,25;1152;1152;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;5439124;5308416;0;1152;1152;1;16;16;1;1;148,423;27,783
8,21;22,16;114,70;1216;1216;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;6052500;5914624;0;1216;1216;1;16;16;1;1;148,519;27,801
8,88;25,06;127,00;1280;1280;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;6698644;6553600;0;1280;1280;1;16;16;1;1;148,606;27,817
9,15;27,24;140,79;1344;1344;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;7377556;7225344;0;1344;1344;1;16;16;1;1;148,684;27,832
9,37;29,37;153,68;1408;1408;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;8089236;7929856;0;1408;1408;1;16;16;1;1;148,755;27,845
9,94;30,94;168,65;1472;1472;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;8833684;8667136;0;1472;1472;1;16;16;1;1;148,820;27,857
10,44;33,20;182,48;1536;1536;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;9610900;9437184;0;1536;1536;1;16;16;1;1;148,880;27,869
10,75;35,82;196,76;1600;1600;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;10420884;10240000;0;1600;1600;1;16;16;1;1;148,935;27,879
11,77;39,02;210,98;1664;1664;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;11263636;11075584;0;1664;1664;1;16;16;1;1;148,985;27,888
12,15;42,77;227,06;1728;1728;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;12139156;11943936;0;1728;1728;1;16;16;1;1;149,032;27,897
12,92;45,34;244,31;1792;1792;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;13047444;12845056;0;1792;1792;1;16;16;1;1;149,076;27,905
13,43;47,50;262,61;1856;1856;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;13988500;13778944;0;1856;1856;1;16;16;1;1;149,116;27,913
13,75;50,21;279,66;1920;1920;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;14962324;14745600;0;1920;1920;1;16;16;1;1;149,154;27,920
15,34;54,44;299,39;1984;1984;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;15968916;15745024;0;1984;1984;1;16;16;1;1;149,189;27,926
15,88;56,95;317,94;2048;2048;15;15;0;225;1;0;0;225;1202;0;0;0;0;0;0;17008276;16777216;0;2048;2048;1;16;16;1;1;149,222;27,933
3,82;3,97;4,02;64;64;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;26756;16384;0;64;64;1;16;16;1;1;145,458;27,440
3,84;4,18;6,50;128;128;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;84100;65536;0;128;128;1;16;16;1;1;167,742;31,643
5,64;4,71;7,45;192;192;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;174212;147456;0;192;192;1;16;16;1;1;175,571;33,120
5,23;6,59;9,91;256;256;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;297092;262144;0;256;256;1;16;16;1;1;179,533;33,867
4,69;6,38;14,05;320;320;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;452740;409600;0;320;320;1;16;16;1;1;181,920;34,318
4,89;6,53;17,94;384;384;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;641156;589824;0;384;384;1;16;16;1;1;183,514;34,619
4,84;7,05;24,03;448;448;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;862340;802816;0;448;448;1;16;16;1;1;184,654;34,834
5,39;8,46;28,41;512;512;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;1116292;1048576;0;512;512;1;16;16;1;1;185,510;34,995
5,56;9,30;35,86;576;576;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;1403012;1327104;0;576;576;1;16;16;1;1;186,176;35,121
5,82;9,56;42,89;640;640;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;1722500;1638400;0;640;640;1;16;16;1;1;186,708;35,221
5,78;10,92;53,20;704;704;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;2074756;1982464;0;704;704;1;16;16;1;1;187,144;35,303
6,76;12,81;58,47;768;768;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;2459780;2359296;0;768;768;1;16;16;1;1;187,507;35,372
6,64;15,34;69,75;832;832;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;2877572;2768896;0;832;832;1;16;16;1;1;187,814;35,430
7,47;15,48;81,53;896;896;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;3328132;3211264;0;896;896;1;16;16;1;1;188,078;35,479
7,49;17,94;94,40;960;960;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;3811460;3686400;0;960;960;1;16;16;1;1;188,306;35,522
8,16;21,71;106,40;1024;1024;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;4327556;4194304;0;1024;1024;1;16;16;1;1;188,506;35,560
8,93;24,62;120,15;1088;1088;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;4876420;4734976;0;1088;1088;1;16;16;1;1;188,682;35,593
9,49;26,07;134,03;1152;1152;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;5458052;5308416;0;1152;1152;1;16;16;1;1;188,838;35,623
9,74;28,55;148,55;1216;1216;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;6072452;5914624;0;1216;1216;1;16;16;1;1;188,979;35,649
10,18;30,37;167,27;1280;1280;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;6719620;6553600;0;1280;1280;1;16;16;1;1;189,105;35,673
11,33;32,30;182,64;1344;1344;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;7399556;7225344;0;1344;1344;1;16;16;1;1;189,219;35,695
11,99;34,53;200,31;1408;1408;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;8112260;7929856;0;1408;1408;1;16;16;1;1;189,323;35,714
12,80;37,14;219,99;1472;1472;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;8857732;8667136;0;1472;1472;1;16;16;1;1;189,417;35,732
13,39;40,12;238,14;1536;1536;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;9635972;9437184;0;1536;1536;1;16;16;1;1;189,504;35,748
13,63;44,35;258,70;1600;1600;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;10446980;10240000;0;1600;1600;1;16;16;1;1;189,584;35,764
14,85;46,92;280,66;1664;1664;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;11290756;11075584;0;1664;1664;1;16;16;1;1;189,658;35,777
15,37;50,95;299,14;1728;1728;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;12167300;11943936;0;1728;1728;1;16;16;1;1;189,726;35,790
16,71;54,17;325,09;1792;1792;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;13076612;12845056;0;1792;1792;1;16;16;1;1;189,789;35,802
16,99;57,28;348,50;1856;1856;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;14018692;13778944;0;1856;1856;1;16;16;1;1;189,848;35,813
18,38;60,78;373,89;1920;1920;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;14993540;14745600;0;1920;1920;1;16;16;1;1;189,903;35,824
19,72;65,55;399,61;1984;1984;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;16001156;15745024;0;1984;1984;1;16;16;1;1;189,955;35,834
14,08;70,21;427,47;2048;2048;17;17;0;289;1;0;0;289;1532;0;0;0;0;0;0;17041540;16777216;0;2048;2048;1;16;16;1;1;190,003;35,843
3,62;3,85;3,71;64;64;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;28340;16384;0;64;64;1;16;16;1;1;174,193;33,062
3,89;5,22;6,86;128;128;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;86708;65536;0;128;128;1;16;16;1;1;204,687;38,850
4,33;5,42;8,25;192;192;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;177844;147456;0;192;192;1;16;16;1;1;215,541;40,910
4,57;6,29;11,55;256;256;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;301748;262144;0;256;256;1;16;16;1;1;221,052;41,956
4,61;8,28;17,15;320;320;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;458420;409600;0;320;320;1;16;16;1;1;224,378;42,587
4,94;8,67;21,07;384;384;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;647860;589824;0;384;384;1;16;16;1;1;226,602;43,009
5,18;10,78;28,53;448;448;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;870068;802816;0;448;448;1;16;16;1;1;228,192;43,311
5,27;13,72;34,81;512;512;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;1125044;1048576;0;512;512;1;16;16;1;1;229,386;43,538
5,72;16,01;45,86;576;576;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;1412788;1327104;0;576;576;1;16;16;1;1;230,315;43,714
6,14;20,33;51,80;640;640;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;1733300;1638400;0;640;640;1;16;16;1;1;231,058;43,855
6,57;23,41;62,58;704;704;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;2086580;1982464;0;704;704;1;16;16;1;1;231,667;43,970
6,82;26,86;74,20;768;768;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;2472628;2359296;0;768;768;1;16;16;1;1;232,174;44,067
7,09;29,84;86,77;832;832;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;2891444;2768896;0;832;832;1;16;16;1;1;232,603;44,148
7,58;34,13;99,87;896;896;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;3343028;3211264;0;896;896;1;16;16;1;1;232,970;44,218
8,26;37,96;115,44;960;960;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;3827380;3686400;0;960;960;1;16;16;1;1;233,289;44,278
8,94;42,95;131,24;1024;1024;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;4344500;4194304;0;1024;1024;1;16;16;1;1;233,568;44,331
9,48;47,47;146,90;1088;1088;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;4894388;4734976;0;1088;1088;1;16;16;1;1;233,814;44,378
9,64;52,70;165,75;1152;1152;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;5477044;5308416;0;1152;1152;1;16;16;1;1;234,033;44,419
11,03;58,30;183,93;1216;1216;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;6092468;5914624;0;1216;1216;1;16;16;1;1;234,229;44,457
11,51;64,44;204,37;1280;1280;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;6740660;6553600;0;1280;1280;1;16;16;1;1;234,405;44,490
12,05;68,81;226,22;1344;1344;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;7421620;7225344;0;1344;1344;1;16;16;1;1;234,564;44,520
12,88;76,00;242,40;1408;1408;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;8135348;7929856;0;1408;1408;1;16;16;1;1;234,709;44,548
13,95;81,32;264,71;1472;1472;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;8881844;8667136;0;1472;1472;1;16;16;1;1;234,841;44,573
15,36;87,98;288,15;1536;1536;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;9661108;9437184;0;1536;1536;1;16;16;1;1;234,962;44,596
15,96;94,37;313,80;1600;1600;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;10473140;10240000;0;1600;1600;1;16;16;1;1;235,074;44,617
15,98;101,49;338,92;1664;1664;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;11317940;11075584;0;1664;1664;1;16;16;1;1;235,177;44,637
17,00;108,92;365,27;1728;1728;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;12195508;11943936;0;1728;1728;1;16;16;1;1;235,272;44,655
18,48;116,90;392,89;1792;1792;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;13105844;12845056;0;1792;1792;1;16;16;1;1;235,361;44,672
14,05;124,20;428,40;1856;1856;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;14048948;13778944;0;1856;1856;1;16;16;1;1;235,443;44,687
12,62;132,26;460,64;1920;1920;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;15024820;14745600;0;1920;1920;1;16;16;1;1;235,520;44,702
13,51;140,20;492,25;1984;1984;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;16033460;15745024;0;1984;1984;1;16;16;1;1;235,592;44,715
14,53;149,61;526,98;2048;2048;19;19;0;361;1;0;0;361;1902;0;0;0;0;0;0;17074868;16777216;0;2048;2048;1;16;16;1;1;235,660;44,728
