Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Vector Size (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
2,30;2,00;1,76;81920;0;2;1;0;0;0;1;0;0;0;0;0;0;655360;327680;0;81920;1;1;128;1;1;;0,083;0,167
2,48;2,02;1,65;83968;0;2;1;0;0;0;1;0;0;0;0;0;0;671744;335872;0;83968;1;1;128;1;1;;0,083;0,167
2,53;2,04;1,64;86016;0;2;1;0;0;0;1;0;0;0;0;0;0;688128;344064;0;86016;1;1;128;1;1;;0,083;0,167
2,53;2,02;1,68;88064;0;2;1;0;0;0;1;0;0;0;0;0;0;704512;352256;0;88064;1;1;128;1;1;;0,083;0,167
2,55;2,08;1,68;90112;0;2;1;0;0;0;1;0;0;0;0;0;0;720896;360448;0;90112;1;1;128;1;1;;0,083;0,167
2,54;2,16;1,72;92160;0;2;1;0;0;0;1;0;0;0;0;0;0;737280;368640;0;92160;1;1;128;1;1;;0,083;0,167
2,50;2,07;1,70;94208;0;2;1;0;0;0;1;0;0;0;0;0;0;753664;376832;0;94208;1;1;128;1;1;;0,083;0,167
2,52;2,12;1,69;96256;0;2;1;0;0;0;1;0;0;0;0;0;0;770048;385024;0;96256;1;1;128;1;1;;0,083;0,167
2,62;2,23;1,72;98304;0;2;1;0;0;0;1;0;0;0;0;0;0;786432;393216;0;98304;1;1;128;1;1;;0,083;0,167
2,56;2,18;1,57;100352;0;2;1;0;0;0;1;0;0;0;0;0;0;802816;401408;0;100352;1;1;128;1;1;;0,083;0,167
2,56;2,25;1,89;102400;0;2;1;0;0;0;1;0;0;0;0;0;0;819200;409600;0;102400;1;1;128;1;1;;0,083;0,167
2,43;2,18;1,75;104448;0;2;1;0;0;0;1;0;0;0;0;0;0;835584;417792;0;104448;1;1;128;1;1;;0,083;0,167
2,57;2,10;1,79;106496;0;2;1;0;0;0;1;0;0;0;0;0;0;851968;425984;0;106496;1;1;128;1;1;;0,083;0,167
2,57;2,26;1,73;108544;0;2;1;0;0;0;1;0;0;0;0;0;0;868352;434176;0;108544;1;1;128;1;1;;0,083;0,167
2,65;2,22;1,83;110592;0;2;1;0;0;0;1;0;0;0;0;0;0;884736;442368;0;110592;1;1;128;1;1;;0,083;0,167
2,50;2,28;1,85;112640;0;2;1;0;0;0;1;0;0;0;0;0;0;901120;450560;0;112640;1;1;128;1;1;;0,083;0,167
2,67;2,37;1,76;114688;0;2;1;0;0;0;1;0;0;0;0;0;0;917504;458752;0;114688;1;1;128;1;1;;0,083;0,167
2,62;2,32;1,84;116736;0;2;1;0;0;0;1;0;0;0;0;0;0;933888;466944;0;116736;1;1;128;1;1;;0,083;0,167
2,63;2,33;1,93;118784;0;2;1;0;0;0;1;0;0;0;0;0;0;950272;475136;0;118784;1;1;128;1;1;;0,083;0,167
2,69;2,36;1,98;120832;0;2;1;0;0;0;1;0;0;0;0;0;0;966656;483328;0;120832;1;1;128;1;1;;0,083;0,167
2,75;2,38;1,89;122880;0;2;1;0;0;0;1;0;0;0;0;0;0;983040;491520;0;122880;1;1;128;1;1;;0,083;0,167
2,69;2,41;1,88;124928;0;2;1;0;0;0;1;0;0;0;0;0;0;999424;499712;0;124928;1;1;128;1;1;;0,083;0,167
2,66;2,43;1,95;126976;0;2;1;0;0;0;1;0;0;0;0;0;0;1015808;507904;0;126976;1;1;128;1;1;;0,083;0,167
2,76;2,21;1,98;129024;0;2;1;0;0;0;1;0;0;0;0;0;0;1032192;516096;0;129024;1;1;128;1;1;;0,083;0,167
2,77;2,38;1,82;131072;0;2;1;0;0;0;1;0;0;0;0;0;0;1048576;524288;0;131072;1;1;128;1;1;;0,083;0,167
2,81;2,43;1,80;133120;0;2;1;0;0;0;1;0;0;0;0;0;0;1064960;532480;0;133120;1;1;128;1;1;;0,083;0,167
2,70;2,45;1,95;135168;0;2;1;0;0;0;1;0;0;0;0;0;0;1081344;540672;0;135168;1;1;128;1;1;;0,083;0,167
2,82;2,29;2,01;137216;0;2;1;0;0;0;1;0;0;0;0;0;0;1097728;548864;0;137216;1;1;128;1;1;;0,083;0,167
2,80;2,49;2,01;139264;0;2;1;0;0;0;1;0;0;0;0;0;0;1114112;557056;0;139264;1;1;128;1;1;;0,083;0,167
2,87;2,53;2,07;141312;0;2;1;0;0;0;1;0;0;0;0;0;0;1130496;565248;0;141312;1;1;128;1;1;;0,083;0,167
2,85;2,48;1,85;143360;0;2;1;0;0;0;1;0;0;0;0;0;0;1146880;573440;0;143360;1;1;128;1;1;;0,083;0,167
2,81;2,48;2,07;145408;0;2;1;0;0;0;1;0;0;0;0;0;0;1163264;581632;0;145408;1;1;128;1;1;;0,083;0,167
2,81;2,52;2,11;147456;0;2;1;0;0;0;1;0;0;0;0;0;0;1179648;589824;0;147456;1;1;128;1;1;;0,083;0,167
2,87;2,49;2,09;149504;0;2;1;0;0;0;1;0;0;0;0;0;0;1196032;598016;0;149504;1;1;128;1;1;;0,083;0,167
2,83;2,39;2,11;151552;0;2;1;0;0;0;1;0;0;0;0;0;0;1212416;606208;0;151552;1;1;128;1;1;;0,083;0,167
2,86;2,52;1,97;153600;0;2;1;0;0;0;1;0;0;0;0;0;0;1228800;614400;0;153600;1;1;128;1;1;;0,083;0,167
2,94;2,60;2,21;155648;0;2;1;0;0;0;1;0;0;0;0;0;0;1245184;622592;0;155648;1;1;128;1;1;;0,083;0,167
2,69;2,57;2,15;157696;0;2;1;0;0;0;1;0;0;0;0;0;0;1261568;630784;0;157696;1;1;128;1;1;;0,083;0,167
2,83;2,47;2,18;159744;0;2;1;0;0;0;1;0;0;0;0;0;0;1277952;638976;0;159744;1;1;128;1;1;;0,083;0,167
2,88;2,60;2,01;161792;0;2;1;0;0;0;1;0;0;0;0;0;0;1294336;647168;0;161792;1;1;128;1;1;;0,083;0,167
2,93;2,62;2,32;163840;0;2;1;0;0;0;1;0;0;0;0;0;0;1310720;655360;0;163840;1;1;128;1;1;;0,083;0,167
2,87;2,60;2,11;165888;0;2;1;0;0;0;1;0;0;0;0;0;0;1327104;663552;0;165888;1;1;128;1;1;;0,083;0,167
2,88;2,58;2,22;167936;0;2;1;0;0;0;1;0;0;0;0;0;0;1343488;671744;0;167936;1;1;128;1;1;;0,083;0,167
2,91;2,62;2,02;169984;0;2;1;0;0;0;1;0;0;0;0;0;0;1359872;679936;0;169984;1;1;128;1;1;;0,083;0,167
2,97;2,69;2,23;172032;0;2;1;0;0;0;1;0;0;0;0;0;0;1376256;688128;0;172032;1;1;128;1;1;;0,083;0,167
2,91;2,66;2,25;174080;0;2;1;0;0;0;1;0;0;0;0;0;0;1392640;696320;0;174080;1;1;128;1;1;;0,083;0,167
2,93;2,71;2,11;176128;0;2;1;0;0;0;1;0;0;0;0;0;0;1409024;704512;0;176128;1;1;128;1;1;;0,083;0,167
2,97;2,72;2,25;178176;0;2;1;0;0;0;1;0;0;0;0;0;0;1425408;712704;0;178176;1;1;128;1;1;;0,083;0,167
2,91;2,75;2,38;180224;0;2;1;0;0;0;1;0;0;0;0;0;0;1441792;720896;0;180224;1;1;128;1;1;;0,083;0,167
3,00;2,57;2,13;182272;0;2;1;0;0;0;1;0;0;0;0;0;0;1458176;729088;0;182272;1;1;128;1;1;;0,083;0,167
2,99;2,68;2,15;184320;0;2;1;0;0;0;1;0;0;0;0;0;0;1474560;737280;0;184320;1;1;128;1;1;;0,083;0,167
3,03;2,76;2,34;186368;0;2;1;0;0;0;1;0;0;0;0;0;0;1490944;745472;0;186368;1;1;128;1;1;;0,083;0,167
3,01;2,77;2,14;188416;0;2;1;0;0;0;1;0;0;0;0;0;0;1507328;753664;0;188416;1;1;128;1;1;;0,083;0,167
3,09;2,85;2,45;190464;0;2;1;0;0;0;1;0;0;0;0;0;0;1523712;761856;0;190464;1;1;128;1;1;;0,083;0,167
3,08;2,85;2,37;192512;0;2;1;0;0;0;1;0;0;0;0;0;0;1540096;770048;0;192512;1;1;128;1;1;;0,083;0,167
3,01;2,81;2,40;194560;0;2;1;0;0;0;1;0;0;0;0;0;0;1556480;778240;0;194560;1;1;128;1;1;;0,083;0,167
3,03;2,84;2,38;196608;0;2;1;0;0;0;1;0;0;0;0;0;0;1572864;786432;0;196608;1;1;128;1;1;;0,083;0,167
3,07;2,86;2,25;198656;0;2;1;0;0;0;1;0;0;0;0;0;0;1589248;794624;0;198656;1;1;128;1;1;;0,083;0,167
3,08;2,90;2,55;200704;0;2;1;0;0;0;1;0;0;0;0;0;0;1605632;802816;0;200704;1;1;128;1;1;;0,083;0,167
2,95;2,93;2,43;202752;0;2;1;0;0;0;1;0;0;0;0;0;0;1622016;811008;0;202752;1;1;128;1;1;;0,083;0,167
3,04;2,73;2,36;204800;0;2;1;0;0;0;1;0;0;0;0;0;0;1638400;819200;0;204800;1;1;128;1;1;;0,083;0,167
3,08;2,85;2,33;206848;0;2;1;0;0;0;1;0;0;0;0;0;0;1654784;827392;0;206848;1;1;128;1;1;;0,083;0,167
3,07;2,87;2,43;208896;0;2;1;0;0;0;1;0;0;0;0;0;0;1671168;835584;0;208896;1;1;128;1;1;;0,083;0,167
2,98;2,86;2,50;210944;0;2;1;0;0;0;1;0;0;0;0;0;0;1687552;843776;0;210944;1;1;128;1;1;;0,083;0,167
3,13;2,82;2,50;212992;0;2;1;0;0;0;1;0;0;0;0;0;0;1703936;851968;0;212992;1;1;128;1;1;;0,083;0,167
3,16;2,96;2,50;215040;0;2;1;0;0;0;1;0;0;0;0;0;0;1720320;860160;0;215040;1;1;128;1;1;;0,083;0,167
3,14;2,90;2,52;217088;0;2;1;0;0;0;1;0;0;0;0;0;0;1736704;868352;0;217088;1;1;128;1;1;;0,083;0,167
3,10;2,86;2,52;219136;0;2;1;0;0;0;1;0;0;0;0;0;0;1753088;876544;0;219136;1;1;128;1;1;;0,083;0,167
3,12;2,88;2,23;221184;0;2;1;0;0;0;1;0;0;0;0;0;0;1769472;884736;0;221184;1;1;128;1;1;;0,083;0,167
3,11;2,96;2,58;223232;0;2;1;0;0;0;1;0;0;0;0;0;0;1785856;892928;0;223232;1;1;128;1;1;;0,083;0,167
3,18;3,01;2,52;225280;0;2;1;0;0;0;1;0;0;0;0;0;0;1802240;901120;0;225280;1;1;128;1;1;;0,083;0,167
3,14;3,01;2,50;227328;0;2;1;0;0;0;1;0;0;0;0;0;0;1818624;909312;0;227328;1;1;128;1;1;;0,083;0,167
3,16;2,93;2,26;229376;0;2;1;0;0;0;1;0;0;0;0;0;0;1835008;917504;0;229376;1;1;128;1;1;;0,083;0,167
3,16;2,98;2,59;231424;0;2;1;0;0;0;1;0;0;0;0;0;0;1851392;925696;0;231424;1;1;128;1;1;;0,083;0,167
3,05;2,96;2,60;233472;0;2;1;0;0;0;1;0;0;0;0;0;0;1867776;933888;0;233472;1;1;128;1;1;;0,083;0,167
3,20;2,86;2,61;235520;0;2;1;0;0;0;1;0;0;0;0;0;0;1884160;942080;0;235520;1;1;128;1;1;;0,083;0,167
3,21;3,00;2,21;237568;0;2;1;0;0;0;1;0;0;0;0;0;0;1900544;950272;0;237568;1;1;128;1;1;;0,083;0,167
3,25;3,09;2,56;239616;0;2;1;0;0;0;1;0;0;0;0;0;0;1916928;958464;0;239616;1;1;128;1;1;;0,083;0,167
3,12;3,05;2,35;241664;0;2;1;0;0;0;1;0;0;0;0;0;0;1933312;966656;0;241664;1;1;128;1;1;;0,083;0,167
3,24;3,00;2,67;243712;0;2;1;0;0;0;1;0;0;0;0;0;0;1949696;974848;0;243712;1;1;128;1;1;;0,083;0,167
3,24;3,03;2,50;245760;0;2;1;0;0;0;1;0;0;0;0;0;0;1966080;983040;0;245760;1;1;128;1;1;;0,083;0,167
3,23;3,05;2,66;247808;0;2;1;0;0;0;1;0;0;0;0;0;0;1982464;991232;0;247808;1;1;128;1;1;;0,083;0,167
3,27;3,02;2,26;249856;0;2;1;0;0;0;1;0;0;0;0;0;0;1998848;999424;0;249856;1;1;128;1;1;;0,083;0,167
3,27;3,06;2,35;251904;0;2;1;0;0;0;1;0;0;0;0;0;0;2015232;1007616;0;251904;1;1;128;1;1;;0,083;0,167
3,33;3,12;2,67;253952;0;2;1;0;0;0;1;0;0;0;0;0;0;2031616;1015808;0;253952;1;1;128;1;1;;0,083;0,167
3,21;3,11;2,79;256000;0;2;1;0;0;0;1;0;0;0;0;0;0;2048000;1024000;0;256000;1;1;128;1;1;;0,083;0,167
3,29;3,04;2,72;258048;0;2;1;0;0;0;1;0;0;0;0;0;0;2064384;1032192;0;258048;1;1;128;1;1;;0,083;0,167
3,32;3,11;2,54;260096;0;2;1;0;0;0;1;0;0;0;0;0;0;2080768;1040384;0;260096;1;1;128;1;1;;0,083;0,167
3,33;3,10;2,62;262144;0;2;1;0;0;0;1;0;0;0;0;0;0;2097152;1048576;0;262144;1;1;128;1;1;;0,083;0,167
3,18;3,05;2,74;264192;0;2;1;0;0;0;1;0;0;0;0;0;0;2113536;1056768;0;264192;1;1;128;1;1;;0,083;0,167
3,35;2,95;2,37;266240;0;2;1;0;0;0;1;0;0;0;0;0;0;2129920;1064960;0;266240;1;1;128;1;1;;0,083;0,167
3,26;3,12;2,80;268288;0;2;1;0;0;0;1;0;0;0;0;0;0;2146304;1073152;0;268288;1;1;128;1;1;;0,083;0,167
3,34;3,12;2,39;270336;0;2;1;0;0;0;1;0;0;0;0;0;0;2162688;1081344;0;270336;1;1;128;1;1;;0,083;0,167
3,42;3,13;2,61;272384;0;2;1;0;0;0;1;0;0;0;0;0;0;2179072;1089536;0;272384;1;1;128;1;1;;0,083;0,167
3,41;3,19;2,69;274432;0;2;1;0;0;0;1;0;0;0;0;0;0;2195456;1097728;0;274432;1;1;128;1;1;;0,083;0,167
3,44;3,19;2,81;276480;0;2;1;0;0;0;1;0;0;0;0;0;0;2211840;1105920;0;276480;1;1;128;1;1;;0,083;0,167
3,42;3,24;2,65;278528;0;2;1;0;0;0;1;0;0;0;0;0;0;2228224;1114112;0;278528;1;1;128;1;1;;0,083;0,167
3,43;3,14;2,45;280576;0;2;1;0;0;0;1;0;0;0;0;0;0;2244608;1122304;0;280576;1;1;128;1;1;;0,083;0,167
3,40;3,16;2,72;282624;0;2;1;0;0;0;1;0;0;0;0;0;0;2260992;1130496;0;282624;1;1;128;1;1;;0,083;0,167
3,40;3,10;2,69;284672;0;2;1;0;0;0;1;0;0;0;0;0;0;2277376;1138688;0;284672;1;1;128;1;1;;0,083;0,167
3,27;3,19;2,65;286720;0;2;1;0;0;0;1;0;0;0;0;0;0;2293760;1146880;0;286720;1;1;128;1;1;;0,083;0,167
3,41;3,05;2,92;288768;0;2;1;0;0;0;1;0;0;0;0;0;0;2310144;1155072;0;288768;1;1;128;1;1;;0,083;0,167
3,44;3,13;2,29;290816;0;2;1;0;0;0;1;0;0;0;0;0;0;2326528;1163264;0;290816;1;1;128;1;1;;0,083;0,167
3,43;3,21;2,53;292864;0;2;1;0;0;0;1;0;0;0;0;0;0;2342912;1171456;0;292864;1;1;128;1;1;;0,083;0,167
3,28;3,19;2,68;294912;0;2;1;0;0;0;1;0;0;0;0;0;0;2359296;1179648;0;294912;1;1;128;1;1;;0,083;0,167
3,49;3,25;2,76;296960;0;2;1;0;0;0;1;0;0;0;0;0;0;2375680;1187840;0;296960;1;1;128;1;1;;0,083;0,167
3,49;3,24;2,81;299008;0;2;1;0;0;0;1;0;0;0;0;0;0;2392064;1196032;0;299008;1;1;128;1;1;;0,083;0,167
3,53;3,24;2,93;301056;0;2;1;0;0;0;1;0;0;0;0;0;0;2408448;1204224;0;301056;1;1;128;1;1;;0,083;0,167
3,51;3,27;2,64;303104;0;2;1;0;0;0;1;0;0;0;0;0;0;2424832;1212416;0;303104;1;1;128;1;1;;0,083;0,167
3,48;3,16;2,94;305152;0;2;1;0;0;0;1;0;0;0;0;0;0;2441216;1220608;0;305152;1;1;128;1;1;;0,083;0,167
3,53;3,28;2,67;307200;0;2;1;0;0;0;1;0;0;0;0;0;0;2457600;1228800;0;307200;1;1;128;1;1;;0,083;0,167
3,36;3,25;2,70;309248;0;2;1;0;0;0;1;0;0;0;0;0;0;2473984;1236992;0;309248;1;1;128;1;1;;0,083;0,167
3,55;3,13;2,85;311296;0;2;1;0;0;0;1;0;0;0;0;0;0;2490368;1245184;0;311296;1;1;128;1;1;;0,083;0,167
3,52;3,26;2,73;313344;0;2;1;0;0;0;1;0;0;0;0;0;0;2506752;1253376;0;313344;1;1;128;1;1;;0,083;0,167
3,57;3,30;3,09;315392;0;2;1;0;0;0;1;0;0;0;0;0;0;2523136;1261568;0;315392;1;1;128;1;1;;0,083;0,167
3,41;3,30;2,87;317440;0;2;1;0;0;0;1;0;0;0;0;0;0;2539520;1269760;0;317440;1;1;128;1;1;;0,083;0,167
3,59;3,16;2,63;319488;0;2;1;0;0;0;1;0;0;0;0;0;0;2555904;1277952;0;319488;1;1;128;1;1;;0,083;0,167
3,55;3,33;2,71;321536;0;2;1;0;0;0;1;0;0;0;0;0;0;2572288;1286144;0;321536;1;1;128;1;1;;0,083;0,167
3,58;3,34;2,89;323584;0;2;1;0;0;0;1;0;0;0;0;0;0;2588672;1294336;0;323584;1;1;128;1;1;;0,083;0,167
3,53;3,35;2,90;325632;0;2;1;0;0;0;1;0;0;0;0;0;0;2605056;1302528;0;325632;1;1;128;1;1;;0,083;0,167
3,61;3,33;2,82;327680;0;2;1;0;0;0;1;0;0;0;0;0;0;2621440;1310720;0;327680;1;1;128;1;1;;0,083;0,167
3,65;3,35;2,86;329728;0;2;1;0;0;0;1;0;0;0;0;0;0;2637824;1318912;0;329728;1;1;128;1;1;;0,083;0,167
3,63;3,32;2,78;331776;0;2;1;0;0;0;1;0;0;0;0;0;0;2654208;1327104;0;331776;1;1;128;1;1;;0,083;0,167
3,64;3,38;2,84;333824;0;2;1;0;0;0;1;0;0;0;0;0;0;2670592;1335296;0;333824;1;1;128;1;1;;0,083;0,167
3,68;3,38;2,64;335872;0;2;1;0;0;0;1;0;0;0;0;0;0;2686976;1343488;0;335872;1;1;128;1;1;;0,083;0,167
3,67;3,44;2,99;337920;0;2;1;0;0;0;1;0;0;0;0;0;0;2703360;1351680;0;337920;1;1;128;1;1;;0,083;0,167
3,55;3,40;2,90;339968;0;2;1;0;0;0;1;0;0;0;0;0;0;2719744;1359872;0;339968;1;1;128;1;1;;0,083;0,167
3,72;3,28;2,89;342016;0;2;1;0;0;0;1;0;0;0;0;0;0;2736128;1368064;0;342016;1;1;128;1;1;;0,083;0,167
3,77;3,47;2,78;344064;0;2;1;0;0;0;1;0;0;0;0;0;0;2752512;1376256;0;344064;1;1;128;1;1;;0,083;0,167
3,68;3,45;2,89;346112;0;2;1;0;0;0;1;0;0;0;0;0;0;2768896;1384448;0;346112;1;1;128;1;1;;0,083;0,167
3,69;3,33;3,12;348160;0;2;1;0;0;0;1;0;0;0;0;0;0;2785280;1392640;0;348160;1;1;128;1;1;;0,083;0,167
3,71;3,44;2,92;350208;0;2;1;0;0;0;1;0;0;0;0;0;0;2801664;1400832;0;350208;1;1;128;1;1;;0,083;0,167
