Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Vector Size (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
10,47;8,98;8,23;2037760;0;2;1;0;0;0;1;0;0;0;0;0;0;16302080;8151040;0;2037760;1;1;128;1;1;;0,083;0,167
10,39;9,09;8,32;2039808;0;2;1;0;0;0;1;0;0;0;0;0;0;16318464;8159232;0;2039808;1;1;128;1;1;;0,083;0,167
10,46;9,22;8,37;2041856;0;2;1;0;0;0;1;0;0;0;0;0;0;16334848;8167424;0;2041856;1;1;128;1;1;;0,083;0,167
10,31;9,23;8,22;2043904;0;2;1;0;0;0;1;0;0;0;0;0;0;16351232;8175616;0;2043904;1;1;128;1;1;;0,083;0,167
10,49;9,23;8,15;2045952;0;2;1;0;0;0;1;0;0;0;0;0;0;16367616;8183808;0;2045952;1;1;128;1;1;;0,083;0,167
10,43;9,20;8,48;2048000;0;2;1;0;0;0;1;0;0;0;0;0;0;16384000;8192000;0;2048000;1;1;128;1;1;;0,083;0,167
10,49;9,31;8,56;2050048;0;2;1;0;0;0;1;0;0;0;0;0;0;16400384;8200192;0;2050048;1;1;128;1;1;;0,083;0,167
10,56;9,28;8,37;2052096;0;2;1;0;0;0;1;0;0;0;0;0;0;16416768;8208384;0;2052096;1;1;128;1;1;;0,083;0,167
10,52;9,14;8,18;2054144;0;2;1;0;0;0;1;0;0;0;0;0;0;16433152;8216576;0;2054144;1;1;128;1;1;;0,083;0,167
10,47;9,22;8,38;2056192;0;2;1;0;0;0;1;0;0;0;0;0;0;16449536;8224768;0;2056192;1;1;128;1;1;;0,083;0,167
10,28;9,30;8,44;2058240;0;2;1;0;0;0;1;0;0;0;0;0;0;16465920;8232960;0;2058240;1;1;128;1;1;;0,083;0,167
10,58;8,99;8,17;2060288;0;2;1;0;0;0;1;0;0;0;0;0;0;16482304;8241152;0;2060288;1;1;128;1;1;;0,083;0,167
10,55;9,28;7,88;2062336;0;2;1;0;0;0;1;0;0;0;0;0;0;16498688;8249344;0;2062336;1;1;128;1;1;;0,083;0,167
10,52;9,20;8,46;2064384;0;2;1;0;0;0;1;0;0;0;0;0;0;16515072;8257536;0;2064384;1;1;128;1;1;;0,083;0,167
10,50;9,21;8,78;2066432;0;2;1;0;0;0;1;0;0;0;0;0;0;16531456;8265728;0;2066432;1;1;128;1;1;;0,083;0,167
10,62;9,37;9,02;2068480;0;2;1;0;0;0;1;0;0;0;0;0;0;16547840;8273920;0;2068480;1;1;128;1;1;;0,083;0,167
10,59;9,30;8,11;2070528;0;2;1;0;0;0;1;0;0;0;0;0;0;16564224;8282112;0;2070528;1;1;128;1;1;;0,083;0,167
10,51;9,27;8,84;2072576;0;2;1;0;0;0;1;0;0;0;0;0;0;16580608;8290304;0;2072576;1;1;128;1;1;;0,083;0,167
10,69;9,13;8,60;2074624;0;2;1;0;0;0;1;0;0;0;0;0;0;16596992;8298496;0;2074624;1;1;128;1;1;;0,083;0,167
10,63;9,36;8,33;2076672;0;2;1;0;0;0;1;0;0;0;0;0;0;16613376;8306688;0;2076672;1;1;128;1;1;;0,083;0,167
10,63;9,33;8,22;2078720;0;2;1;0;0;0;1;0;0;0;0;0;0;16629760;8314880;0;2078720;1;1;128;1;1;;0,083;0,167
10,32;9,27;8,93;2080768;0;2;1;0;0;0;1;0;0;0;0;0;0;16646144;8323072;0;2080768;1;1;128;1;1;;0,083;0,167
10,62;9,33;8,57;2082816;0;2;1;0;0;0;1;0;0;0;0;0;0;16662528;8331264;0;2082816;1;1;128;1;1;;0,083;0,167
10,60;9,32;8,73;2084864;0;2;1;0;0;0;1;0;0;0;0;0;0;16678912;8339456;0;2084864;1;1;128;1;1;;0,083;0,167
10,64;9,36;8,54;2086912;0;2;1;0;0;0;1;0;0;0;0;0;0;16695296;8347648;0;2086912;1;1;128;1;1;;0,083;0,167
10,57;9,31;9,02;2088960;0;2;1;0;0;0;1;0;0;0;0;0;0;16711680;8355840;0;2088960;1;1;128;1;1;;0,083;0,167
10,66;9,25;8,84;2091008;0;2;1;0;0;0;1;0;0;0;0;0;0;16728064;8364032;0;2091008;1;1;128;1;1;;0,083;0,167
10,70;9,41;8,67;2093056;0;2;1;0;0;0;1;0;0;0;0;0;0;16744448;8372224;0;2093056;1;1;128;1;1;;0,083;0,167
10,48;9,39;8,29;2095104;0;2;1;0;0;0;1;0;0;0;0;0;0;16760832;8380416;0;2095104;1;1;128;1;1;;0,083;0,167
10,62;9,15;9,58;2097152;0;2;1;0;0;0;1;0;0;0;0;0;0;16777216;8388608;0;2097152;1;1;128;1;1;;0,083;0,167
10,69;9,42;8,74;2099200;0;2;1;0;0;0;1;0;0;0;0;0;0;16793600;8396800;0;2099200;1;1;128;1;1;;0,083;0,167
10,77;9,32;8,31;2101248;0;2;1;0;0;0;1;0;0;0;0;0;0;16809984;8404992;0;2101248;1;1;128;1;1;;0,083;0,167
10,72;9,34;8,63;2103296;0;2;1;0;0;0;1;0;0;0;0;0;0;16826368;8413184;0;2103296;1;1;128;1;1;;0,083;0,167
10,63;9,37;8,81;2105344;0;2;1;0;0;0;1;0;0;0;0;0;0;16842752;8421376;0;2105344;1;1;128;1;1;;0,083;0,167
10,76;9,42;8,97;2107392;0;2;1;0;0;0;1;0;0;0;0;0;0;16859136;8429568;0;2107392;1;1;128;1;1;;0,083;0,167
10,70;9,51;8,91;2109440;0;2;1;0;0;0;1;0;0;0;0;0;0;16875520;8437760;0;2109440;1;1;128;1;1;;0,083;0,167
10,76;9,48;8,45;2111488;0;2;1;0;0;0;1;0;0;0;0;0;0;16891904;8445952;0;2111488;1;1;128;1;1;;0,083;0,167
10,66;9,40;8,78;2113536;0;2;1;0;0;0;1;0;0;0;0;0;0;16908288;8454144;0;2113536;1;1;128;1;1;;0,083;0,167
10,75;9,35;8,98;2115584;0;2;1;0;0;0;1;0;0;0;0;0;0;16924672;8462336;0;2115584;1;1;128;1;1;;0,083;0,167
10,55;9,51;9,04;2117632;0;2;1;0;0;0;1;0;0;0;0;0;0;16941056;8470528;0;2117632;1;1;128;1;1;;0,083;0,167
10,78;9,18;8,49;2119680;0;2;1;0;0;0;1;0;0;0;0;0;0;16957440;8478720;0;2119680;1;1;128;1;1;;0,083;0,167
10,67;9,43;9,29;2121728;0;2;1;0;0;0;1;0;0;0;0;0;0;16973824;8486912;0;2121728;1;1;128;1;1;;0,083;0,167
10,80;9,40;8,91;2123776;0;2;1;0;0;0;1;0;0;0;0;0;0;16990208;8495104;0;2123776;1;1;128;1;1;;0,083;0,167
10,71;9,45;8,97;2125824;0;2;1;0;0;0;1;0;0;0;0;0;0;17006592;8503296;0;2125824;1;1;128;1;1;;0,083;0,167
10,78;9,44;8,76;2127872;0;2;1;0;0;0;1;0;0;0;0;0;0;17022976;8511488;0;2127872;1;1;128;1;1;;0,083;0,167
10,70;9,33;9,44;2129920;0;2;1;0;0;0;1;0;0;0;0;0;0;17039360;8519680;0;2129920;1;1;128;1;1;;0,083;0,167
10,57;9,45;8,88;2131968;0;2;1;0;0;0;1;0;0;0;0;0;0;17055744;8527872;0;2131968;1;1;128;1;1;;0,083;0,167
10,86;9,33;9,22;2134016;0;2;1;0;0;0;1;0;0;0;0;0;0;17072128;8536064;0;2134016;1;1;128;1;1;;0,083;0,167
10,79;9,43;8,76;2136064;0;2;1;0;0;0;1;0;0;0;0;0;0;17088512;8544256;0;2136064;1;1;128;1;1;;0,083;0,167
10,79;9,44;9,30;2138112;0;2;1;0;0;0;1;0;0;0;0;0;0;17104896;8552448;0;2138112;1;1;128;1;1;;0,083;0,167
10,67;9,57;9,13;2140160;0;2;1;0;0;0;1;0;0;0;0;0;0;17121280;8560640;0;2140160;1;1;128;1;1;;0,083;0,167
10,88;9,64;8,69;2142208;0;2;1;0;0;0;1;0;0;0;0;0;0;17137664;8568832;0;2142208;1;1;128;1;1;;0,083;0,167
10,85;9,51;8,71;2144256;0;2;1;0;0;0;1;0;0;0;0;0;0;17154048;8577024;0;2144256;1;1;128;1;1;;0,083;0,167
10,79;9,53;9,28;2146304;0;2;1;0;0;0;1;0;0;0;0;0;0;17170432;8585216;0;2146304;1;1;128;1;1;;0,083;0,167
10,83;9,69;9,11;2148352;0;2;1;0;0;0;1;0;0;0;0;0;0;17186816;8593408;0;2148352;1;1;128;1;1;;0,083;0,167
10,87;9,49;9,11;2150400;0;2;1;0;0;0;1;0;0;0;0;0;0;17203200;8601600;0;2150400;1;1;128;1;1;;0,083;0,167
10,92;9,50;8,92;2152448;0;2;1;0;0;0;1;0;0;0;0;0;0;17219584;8609792;0;2152448;1;1;128;1;1;;0,083;0,167
10,64;9,55;9,10;2154496;0;2;1;0;0;0;1;0;0;0;0;0;0;17235968;8617984;0;2154496;1;1;128;1;1;;0,083;0,167
10,90;9,37;9,16;2156544;0;2;1;0;0;0;1;0;0;0;0;0;0;17252352;8626176;0;2156544;1;1;128;1;1;;0,083;0,167
10,91;9,51;8,84;2158592;0;2;1;0;0;0;1;0;0;0;0;0;0;17268736;8634368;0;2158592;1;1;128;1;1;;0,083;0,167
10,96;9,62;9,06;2160640;0;2;1;0;0;0;1;0;0;0;0;0;0;17285120;8642560;0;2160640;1;1;128;1;1;;0,083;0,167
10,83;9,46;9,91;2162688;0;2;1;0;0;0;1;0;0;0;0;0;0;17301504;8650752;0;2162688;1;1;128;1;1;;0,083;0,167
10,93;9,60;9,01;2164736;0;2;1;0;0;0;1;0;0;0;0;0;0;17317888;8658944;0;2164736;1;1;128;1;1;;0,083;0,167
10,97;9,63;9,25;2166784;0;2;1;0;0;0;1;0;0;0;0;0;0;17334272;8667136;0;2166784;1;1;128;1;1;;0,083;0,167
10,74;9,50;8,76;2168832;0;2;1;0;0;0;1;0;0;0;0;0;0;17350656;8675328;0;2168832;1;1;128;1;1;;0,083;0,167
10,88;9,33;9,05;2170880;0;2;1;0;0;0;1;0;0;0;0;0;0;17367040;8683520;0;2170880;1;1;128;1;1;;0,083;0,167
10,96;9,63;9,11;2172928;0;2;1;0;0;0;1;0;0;0;0;0;0;17383424;8691712;0;2172928;1;1;128;1;1;;0,083;0,167
10,99;9,56;9,18;2174976;0;2;1;0;0;0;1;0;0;0;0;0;0;17399808;8699904;0;2174976;1;1;128;1;1;;0,083;0,167
10,79;9,65;8,86;2177024;0;2;1;0;0;0;1;0;0;0;0;0;0;17416192;8708096;0;2177024;1;1;128;1;1;;0,083;0,167
9,91;9,62;9,07;2179072;0;2;1;0;0;0;1;0;0;0;0;0;0;17432576;8716288;0;2179072;1;1;128;1;1;;0,083;0,167
9,86;9,67;9,18;2181120;0;2;1;0;0;0;1;0;0;0;0;0;0;17448960;8724480;0;2181120;1;1;128;1;1;;0,083;0,167
11,06;9,61;9,50;2183168;0;2;1;0;0;0;1;0;0;0;0;0;0;17465344;8732672;0;2183168;1;1;128;1;1;;0,083;0,167
11,02;9,70;8,83;2185216;0;2;1;0;0;0;1;0;0;0;0;0;0;17481728;8740864;0;2185216;1;1;128;1;1;;0,083;0,167
10,95;9,57;9,04;2187264;0;2;1;0;0;0;1;0;0;0;0;0;0;17498112;8749056;0;2187264;1;1;128;1;1;;0,083;0,167
11,01;9,63;9,40;2189312;0;2;1;0;0;0;1;0;0;0;0;0;0;17514496;8757248;0;2189312;1;1;128;1;1;;0,083;0,167
10,87;9,72;9,18;2191360;0;2;1;0;0;0;1;0;0;0;0;0;0;17530880;8765440;0;2191360;1;1;128;1;1;;0,083;0,167
11,05;9,42;9,01;2193408;0;2;1;0;0;0;1;0;0;0;0;0;0;17547264;8773632;0;2193408;1;1;128;1;1;;0,083;0,167
10,96;9,59;10,14;2195456;0;2;1;0;0;0;1;0;0;0;0;0;0;17563648;8781824;0;2195456;1;1;128;1;1;;0,083;0,167
11,02;9,64;9,06;2197504;0;2;1;0;0;0;1;0;0;0;0;0;0;17580032;8790016;0;2197504;1;1;128;1;1;;0,083;0,167
11,10;9,75;9,32;2199552;0;2;1;0;0;0;1;0;0;0;0;0;0;17596416;8798208;0;2199552;1;1;128;1;1;;0,083;0,167
11,07;9,61;9,05;2201600;0;2;1;0;0;0;1;0;0;0;0;0;0;17612800;8806400;0;2201600;1;1;128;1;1;;0,083;0,167
11,04;9,71;9,64;2203648;0;2;1;0;0;0;1;0;0;0;0;0;0;17629184;8814592;0;2203648;1;1;128;1;1;;0,083;0,167
11,12;9,77;9,23;2205696;0;2;1;0;0;0;1;0;0;0;0;0;0;17645568;8822784;0;2205696;1;1;128;1;1;;0,083;0,167
11,11;9,52;9,34;2207744;0;2;1;0;0;0;1;0;0;0;0;0;0;17661952;8830976;0;2207744;1;1;128;1;1;;0,083;0,167
11,08;9,73;8,65;2209792;0;2;1;0;0;0;1;0;0;0;0;0;0;17678336;8839168;0;2209792;1;1;128;1;1;;0,083;0,167
11,08;9,74;9,40;2211840;0;2;1;0;0;0;1;0;0;0;0;0;0;17694720;8847360;0;2211840;1;1;128;1;1;;0,083;0,167
10,87;9,66;9,10;2213888;0;2;1;0;0;0;1;0;0;0;0;0;0;17711104;8855552;0;2213888;1;1;128;1;1;;0,083;0,167
11,18;9,90;9,21;2215936;0;2;1;0;0;0;1;0;0;0;0;0;0;17727488;8863744;0;2215936;1;1;128;1;1;;0,083;0,167
11,11;9,76;9,12;2217984;0;2;1;0;0;0;1;0;0;0;0;0;0;17743872;8871936;0;2217984;1;1;128;1;1;;0,083;0,167
11,11;9,80;8,72;2220032;0;2;1;0;0;0;1;0;0;0;0;0;0;17760256;8880128;0;2220032;1;1;128;1;1;;0,083;0,167
11,14;9,79;9,25;2222080;0;2;1;0;0;0;1;0;0;0;0;0;0;17776640;8888320;0;2222080;1;1;128;1;1;;0,083;0,167
11,20;9,80;9,09;2224128;0;2;1;0;0;0;1;0;0;0;0;0;0;17793024;8896512;0;2224128;1;1;128;1;1;;0,083;0,167
11,16;9,87;9,21;2226176;0;2;1;0;0;0;1;0;0;0;0;0;0;17809408;8904704;0;2226176;1;1;128;1;1;;0,083;0,167
10,97;9,89;9,28;2228224;0;2;1;0;0;0;1;0;0;0;0;0;0;17825792;8912896;0;2228224;1;1;128;1;1;;0,083;0,167
11,10;9,47;9,30;2230272;0;2;1;0;0;0;1;0;0;0;0;0;0;17842176;8921088;0;2230272;1;1;128;1;1;;0,083;0,167
11,12;9,72;9,27;2232320;0;2;1;0;0;0;1;0;0;0;0;0;0;17858560;8929280;0;2232320;1;1;128;1;1;;0,083;0,167
11,14;9,71;9,39;2234368;0;2;1;0;0;0;1;0;0;0;0;0;0;17874944;8937472;0;2234368;1;1;128;1;1;;0,083;0,167
11,12;9,67;9,75;2236416;0;2;1;0;0;0;1;0;0;0;0;0;0;17891328;8945664;0;2236416;1;1;128;1;1;;0,083;0,167
11,17;9,80;9,29;2238464;0;2;1;0;0;0;1;0;0;0;0;0;0;17907712;8953856;0;2238464;1;1;128;1;1;;0,083;0,167
11,18;9,82;9,60;2240512;0;2;1;0;0;0;1;0;0;0;0;0;0;17924096;8962048;0;2240512;1;1;128;1;1;;0,083;0,167
10,98;9,83;10,03;2242560;0;2;1;0;0;0;1;0;0;0;0;0;0;17940480;8970240;0;2242560;1;1;128;1;1;;0,083;0,167
11,16;9,61;9,43;2244608;0;2;1;0;0;0;1;0;0;0;0;0;0;17956864;8978432;0;2244608;1;1;128;1;1;;0,083;0,167
11,20;9,87;9,37;2246656;0;2;1;0;0;0;1;0;0;0;0;0;0;17973248;8986624;0;2246656;1;1;128;1;1;;0,083;0,167
11,20;9,82;9,09;2248704;0;2;1;0;0;0;1;0;0;0;0;0;0;17989632;8994816;0;2248704;1;1;128;1;1;;0,083;0,167
11,16;9,74;9,37;2250752;0;2;1;0;0;0;1;0;0;0;0;0;0;18006016;9003008;0;2250752;1;1;128;1;1;;0,083;0,167
11,19;9,87;9,21;2252800;0;2;1;0;0;0;1;0;0;0;0;0;0;18022400;9011200;0;2252800;1;1;128;1;1;;0,083;0,167
11,22;9,87;9,41;2254848;0;2;1;0;0;0;1;0;0;0;0;0;0;18038784;9019392;0;2254848;1;1;128;1;1;;0,083;0,167
11,03;9,86;9,31;2256896;0;2;1;0;0;0;1;0;0;0;0;0;0;18055168;9027584;0;2256896;1;1;128;1;1;;0,083;0,167
11,23;9,67;9,67;2258944;0;2;1;0;0;0;1;0;0;0;0;0;0;18071552;9035776;0;2258944;1;1;128;1;1;;0,083;0,167
11,24;9,80;10,05;2260992;0;2;1;0;0;0;1;0;0;0;0;0;0;18087936;9043968;0;2260992;1;1;128;1;1;;0,083;0,167
11,24;9,79;9,70;2263040;0;2;1;0;0;0;1;0;0;0;0;0;0;18104320;9052160;0;2263040;1;1;128;1;1;;0,083;0,167
11,23;9,87;9,78;2265088;0;2;1;0;0;0;1;0;0;0;0;0;0;18120704;9060352;0;2265088;1;1;128;1;1;;0,083;0,167
11,26;9,90;9,55;2267136;0;2;1;0;0;0;1;0;0;0;0;0;0;18137088;9068544;0;2267136;1;1;128;1;1;;0,083;0,167
11,28;9,93;9,90;2269184;0;2;1;0;0;0;1;0;0;0;0;0;0;18153472;9076736;0;2269184;1;1;128;1;1;;0,083;0,167
11,09;9,94;9,85;2271232;0;2;1;0;0;0;1;0;0;0;0;0;0;18169856;9084928;0;2271232;1;1;128;1;1;;0,083;0,167
10,16;9,71;9,58;2273280;0;2;1;0;0;0;1;0;0;0;0;0;0;18186240;9093120;0;2273280;1;1;128;1;1;;0,083;0,167
10,01;9,84;9,00;2275328;0;2;1;0;0;0;1;0;0;0;0;0;0;18202624;9101312;0;2275328;1;1;128;1;1;;0,083;0,167
10,12;9,88;9,70;2277376;0;2;1;0;0;0;1;0;0;0;0;0;0;18219008;9109504;0;2277376;1;1;128;1;1;;0,083;0,167
11,29;9,93;9,88;2279424;0;2;1;0;0;0;1;0;0;0;0;0;0;18235392;9117696;0;2279424;1;1;128;1;1;;0,083;0,167
11,33;9,95;9,39;2281472;0;2;1;0;0;0;1;0;0;0;0;0;0;18251776;9125888;0;2281472;1;1;128;1;1;;0,083;0,167
11,32;9,96;9,69;2283520;0;2;1;0;0;0;1;0;0;0;0;0;0;18268160;9134080;0;2283520;1;1;128;1;1;;0,083;0,167
11,13;9,98;9,56;2285568;0;2;1;0;0;0;1;0;0;0;0;0;0;18284544;9142272;0;2285568;1;1;128;1;1;;0,083;0,167
11,34;9,71;9,44;2287616;0;2;1;0;0;0;1;0;0;0;0;0;0;18300928;9150464;0;2287616;1;1;128;1;1;;0,083;0,167
11,33;9,88;9,44;2289664;0;2;1;0;0;0;1;0;0;0;0;0;0;18317312;9158656;0;2289664;1;1;128;1;1;;0,083;0,167
11,36;9,92;9,84;2291712;0;2;1;0;0;0;1;0;0;0;0;0;0;18333696;9166848;0;2291712;1;1;128;1;1;;0,083;0,167
11,34;9,90;10,25;2293760;0;2;1;0;0;0;1;0;0;0;0;0;0;18350080;9175040;0;2293760;1;1;128;1;1;;0,083;0,167
10,53;9,92;9,52;2295808;0;2;1;0;0;0;1;0;0;0;0;0;0;18366464;9183232;0;2295808;1;1;128;1;1;;0,083;0,167
10,20;9,99;9,97;2297856;0;2;1;0;0;0;1;0;0;0;0;0;0;18382848;9191424;0;2297856;1;1;128;1;1;;0,083;0,167
11,20;10,03;10,84;2299904;0;2;1;0;0;0;1;0;0;0;0;0;0;18399232;9199616;0;2299904;1;1;128;1;1;;0,083;0,167
11,40;9,80;9,50;2301952;0;2;1;0;0;0;1;0;0;0;0;0;0;18415616;9207808;0;2301952;1;1;128;1;1;;0,083;0,167
10,74;9,93;9,24;2304000;0;2;1;0;0;0;1;0;0;0;0;0;0;18432000;9216000;0;2304000;1;1;128;1;1;;0,083;0,167
10,12;9,93;9,80;2306048;0;2;1;0;0;0;1;0;0;0;0;0;0;18448384;9224192;0;2306048;1;1;128;1;1;;0,083;0,167
11,38;10,00;10,10;2308096;0;2;1;0;0;0;1;0;0;0;0;0;0;18464768;9232384;0;2308096;1;1;128;1;1;;0,083;0,167
11,46;10,04;9,90;2310144;0;2;1;0;0;0;1;0;0;0;0;0;0;18481152;9240576;0;2310144;1;1;128;1;1;;0,083;0,167
11,44;10,07;9,82;2312192;0;2;1;0;0;0;1;0;0;0;0;0;0;18497536;9248768;0;2312192;1;1;128;1;1;;0,083;0,167
11,27;10,07;11,58;2314240;0;2;1;0;0;0;1;0;0;0;0;0;0;18513920;9256960;0;2314240;1;1;128;1;1;;0,083;0,167
11,45;9,89;10,00;2316288;0;2;1;0;0;0;1;0;0;0;0;0;0;18530304;9265152;0;2316288;1;1;128;1;1;;0,083;0,167
11,42;10,01;9,84;2318336;0;2;1;0;0;0;1;0;0;0;0;0;0;18546688;9273344;0;2318336;1;1;128;1;1;;0,083;0,167
11,46;10,00;9,77;2320384;0;2;1;0;0;0;1;0;0;0;0;0;0;18563072;9281536;0;2320384;1;1;128;1;1;;0,083;0,167
11,44;10,00;9,71;2322432;0;2;1;0;0;0;1;0;0;0;0;0;0;18579456;9289728;0;2322432;1;1;128;1;1;;0,083;0,167
11,47;9,98;9,50;2324480;0;2;1;0;0;0;1;0;0;0;0;0;0;18595840;9297920;0;2324480;1;1;128;1;1;;0,083;0,167
11,47;10,06;11,17;2326528;0;2;1;0;0;0;1;0;0;0;0;0;0;18612224;9306112;0;2326528;1;1;128;1;1;;0,083;0,167
11,30;10,13;9,88;2328576;0;2;1;0;0;0;1;0;0;0;0;0;0;18628608;9314304;0;2328576;1;1;128;1;1;;0,083;0,167
11,49;9,91;9,74;2330624;0;2;1;0;0;0;1;0;0;0;0;0;0;18644992;9322496;0;2330624;1;1;128;1;1;;0,083;0,167
11,53;10,11;9,40;2332672;0;2;1;0;0;0;1;0;0;0;0;0;0;18661376;9330688;0;2332672;1;1;128;1;1;;0,083;0,167
11,60;10,17;9,90;2334720;0;2;1;0;0;0;1;0;0;0;0;0;0;18677760;9338880;0;2334720;1;1;128;1;1;;0,083;0,167
11,50;10,03;9,88;2336768;0;2;1;0;0;0;1;0;0;0;0;0;0;18694144;9347072;0;2336768;1;1;128;1;1;;0,083;0,167
11,54;10,02;9,74;2338816;0;2;1;0;0;0;1;0;0;0;0;0;0;18710528;9355264;0;2338816;1;1;128;1;1;;0,083;0,167
11,53;10,12;9,61;2340864;0;2;1;0;0;0;1;0;0;0;0;0;0;18726912;9363456;0;2340864;1;1;128;1;1;;0,083;0,167
11,36;10,15;10,41;2342912;0;2;1;0;0;0;1;0;0;0;0;0;0;18743296;9371648;0;2342912;1;1;128;1;1;;0,083;0,167
11,52;9,94;10,01;2344960;0;2;1;0;0;0;1;0;0;0;0;0;0;18759680;9379840;0;2344960;1;1;128;1;1;;0,083;0,167
11,59;10,19;10,19;2347008;0;2;1;0;0;0;1;0;0;0;0;0;0;18776064;9388032;0;2347008;1;1;128;1;1;;0,083;0,167
11,64;10,20;9,96;2349056;0;2;1;0;0;0;1;0;0;0;0;0;0;18792448;9396224;0;2349056;1;1;128;1;1;;0,083;0,167
11,55;10,09;9,42;2351104;0;2;1;0;0;0;1;0;0;0;0;0;0;18808832;9404416;0;2351104;1;1;128;1;1;;0,083;0,167
11,56;10,08;9,74;2353152;0;2;1;0;0;0;1;0;0;0;0;0;0;18825216;9412608;0;2353152;1;1;128;1;1;;0,083;0,167
11,59;10,10;9,82;2355200;0;2;1;0;0;0;1;0;0;0;0;0;0;18841600;9420800;0;2355200;1;1;128;1;1;;0,083;0,167
11,38;10,10;9,64;2357248;0;2;1;0;0;0;1;0;0;0;0;0;0;18857984;9428992;0;2357248;1;1;128;1;1;;0,083;0,167
11,59;9,96;11,04;2359296;0;2;1;0;0;0;1;0;0;0;0;0;0;18874368;9437184;0;2359296;1;1;128;1;1;;0,083;0,167
11,61;10,23;9,88;2361344;0;2;1;0;0;0;1;0;0;0;0;0;0;18890752;9445376;0;2361344;1;1;128;1;1;;0,083;0,167
11,62;10,24;10,10;2363392;0;2;1;0;0;0;1;0;0;0;0;0;0;18907136;9453568;0;2363392;1;1;128;1;1;;0,083;0,167
11,62;10,23;9,94;2365440;0;2;1;0;0;0;1;0;0;0;0;0;0;18923520;9461760;0;2365440;1;1;128;1;1;;0,083;0,167
11,66;10,24;9,89;2367488;0;2;1;0;0;0;1;0;0;0;0;0;0;18939904;9469952;0;2367488;1;1;128;1;1;;0,083;0,167
11,64;10,12;9,77;2369536;0;2;1;0;0;0;1;0;0;0;0;0;0;18956288;9478144;0;2369536;1;1;128;1;1;;0,083;0,167
11,43;10,21;10,34;2371584;0;2;1;0;0;0;1;0;0;0;0;0;0;18972672;9486336;0;2371584;1;1;128;1;1;;0,083;0,167
11,64;10,05;10,15;2373632;0;2;1;0;0;0;1;0;0;0;0;0;0;18989056;9494528;0;2373632;1;1;128;1;1;;0,083;0,167
11,67;10,27;9,88;2375680;0;2;1;0;0;0;1;0;0;0;0;0;0;19005440;9502720;0;2375680;1;1;128;1;1;;0,083;0,167
11,69;10,27;10,18;2377728;0;2;1;0;0;0;1;0;0;0;0;0;0;19021824;9510912;0;2377728;1;1;128;1;1;;0,083;0,167
11,65;10,32;9,92;2379776;0;2;1;0;0;0;1;0;0;0;0;0;0;19038208;9519104;0;2379776;1;1;128;1;1;;0,083;0,167
11,65;10,15;9,80;2381824;0;2;1;0;0;0;1;0;0;0;0;0;0;19054592;9527296;0;2381824;1;1;128;1;1;;0,083;0,167
11,73;10,24;9,66;2383872;0;2;1;0;0;0;1;0;0;0;0;0;0;19070976;9535488;0;2383872;1;1;128;1;1;;0,083;0,167
11,56;10,36;10,18;2385920;0;2;1;0;0;0;1;0;0;0;0;0;0;19087360;9543680;0;2385920;1;1;128;1;1;;0,083;0,167
11,81;10,16;9,85;2387968;0;2;1;0;0;0;1;0;0;0;0;0;0;19103744;9551872;0;2387968;1;1;128;1;1;;0,083;0,167
11,81;10,37;9,96;2390016;0;2;1;0;0;0;1;0;0;0;0;0;0;19120128;9560064;0;2390016;1;1;128;1;1;;0,083;0,167
11,74;10,30;9,39;2392064;0;2;1;0;0;0;1;0;0;0;0;0;0;19136512;9568256;0;2392064;1;1;128;1;1;;0,083;0,167
11,81;10,40;9,87;2394112;0;2;1;0;0;0;1;0;0;0;0;0;0;19152896;9576448;0;2394112;1;1;128;1;1;;0,083;0,167
11,83;10,43;10,01;2396160;0;2;1;0;0;0;1;0;0;0;0;0;0;19169280;9584640;0;2396160;1;1;128;1;1;;0,083;0,167
11,81;10,32;9,86;2398208;0;2;1;0;0;0;1;0;0;0;0;0;0;19185664;9592832;0;2398208;1;1;128;1;1;;0,083;0,167
11,78;10,32;9,79;2400256;0;2;1;0;0;0;1;0;0;0;0;0;0;19202048;9601024;0;2400256;1;1;128;1;1;;0,083;0,167
11,79;10,14;10,10;2402304;0;2;1;0;0;0;1;0;0;0;0;0;0;19218432;9609216;0;2402304;1;1;128;1;1;;0,083;0,167
11,86;10,41;9,67;2404352;0;2;1;0;0;0;1;0;0;0;0;0;0;19234816;9617408;0;2404352;1;1;128;1;1;;0,083;0,167
11,86;10,36;10,05;2406400;0;2;1;0;0;0;1;0;0;0;0;0;0;19251200;9625600;0;2406400;1;1;128;1;1;;0,083;0,167
