Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,71303168,35651584,0,8912896,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,40.17,67.41,36.02
0,0,2,1,0,0,0,1,0,0,0,0,0,0,73400320,36700160,0,9175040,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,40.91,69.32,37.96
0,0,2,1,0,0,0,1,0,0,0,0,0,0,75497472,37748736,0,9437184,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,41.97,73.16,38.82
0,0,2,1,0,0,0,1,0,0,0,0,0,0,77594624,38797312,0,9699328,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,42.88,73.25,39.37
0,0,2,1,0,0,0,1,0,0,0,0,0,0,79691776,39845888,0,9961472,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,44.85,74.58,40.78
0,0,2,1,0,0,0,1,0,0,0,0,0,0,81788928,40894464,0,10223616,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,45.26,76.92,45.4
0,0,2,1,0,0,0,1,0,0,0,0,0,0,83886080,41943040,0,10485760,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,46.59,78.66,43.22
0,0,2,1,0,0,0,1,0,0,0,0,0,0,85983232,42991616,0,10747904,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,47.38,81.72,45.19
0,0,2,1,0,0,0,1,0,0,0,0,0,0,88080384,44040192,0,11010048,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,48.14,82.01,45.64
0,0,2,1,0,0,0,1,0,0,0,0,0,0,90177536,45088768,0,11272192,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,49.27,87.03,46.46
0,0,2,1,0,0,0,1,0,0,0,0,0,0,92274688,46137344,0,11534336,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,50.26,87.24,47.82
0,0,2,1,0,0,0,1,0,0,0,0,0,0,94371840,47185920,0,11796480,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,51.02,87.16,48.07
0,0,2,1,0,0,0,1,0,0,0,0,0,0,96468992,48234496,0,12058624,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,52.37,90.77,51.22
0,0,2,1,0,0,0,1,0,0,0,0,0,0,98566144,49283072,0,12320768,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,53.13,91.6,50.42
0,0,2,1,0,0,0,1,0,0,0,0,0,0,100663296,50331648,0,12582912,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,54.78,96,51.89
0,0,2,1,0,0,0,1,0,0,0,0,0,0,102760448,51380224,0,12845056,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,56.15,95.64,53.21
0,0,2,1,0,0,0,1,0,0,0,0,0,0,104857600,52428800,0,13107200,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,62.34,98.57,53.63
0,0,2,1,0,0,0,1,0,0,0,0,0,0,106954752,53477376,0,13369344,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,57.51,99.45,54.33
0,0,2,1,0,0,0,1,0,0,0,0,0,0,109051904,54525952,0,13631488,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,59.12,100.53,56.34
0,0,2,1,0,0,0,1,0,0,0,0,0,0,111149056,55574528,0,13893632,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,59.71,103.67,60.03
0,0,2,1,0,0,0,1,0,0,0,0,0,0,113246208,56623104,0,14155776,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,61.21,105.64,57.77
0,0,2,1,0,0,0,1,0,0,0,0,0,0,115343360,57671680,0,14417920,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,61.96,106.69,59.66
