Discrete GPU Completion time (ms); Integrated GPU Completion time (ms); CPU completion time (ms); Matrix size (elements); Filter size (elements);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread)
3.80333333333333;4.24333333333333;3.48333333333333;4096;49;64;64;1;16;16;1;19796;16384;0;12.25;16.625;1;0;0;16.625;148.5
4.98333333333333;4.38;3.41333333333333;16384;49;128;128;1;16;16;1;72020;65536;0;12.25;16.625;1;0;0;16.625;148.5
4.09;4.00333333333333;4.46;65536;49;256;256;1;16;16;1;274772;262144;0;12.25;16.625;1;0;0;16.625;148.5
5.27666666666667;4.96;7.80666666666667;262144;49;512;512;1;16;16;1;1073492;1048576;0;12.25;16.625;1;0;0;16.625;148.5
7.20333333333333;7.29;16.1633333333333;1048576;49;1024;1024;1;16;16;1;4243796;4194304;0;12.25;16.625;1;0;0;16.625;148.5
16.5833333333333;16.1366666666667;55.4733333333333;4194304;49;2048;2048;1;16;16;1;16875860;16777216;0;12.25;16.625;1;0;0;16.625;148.5
56.7533333333333;56.57;215.933333333333;16777216;49;4096;4096;1;16;16;1;67305812;67108864;0;12.25;16.625;1;0;0;16.625;148.5
