Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,60817408,30408704,0,7602176,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,30.28,29.81,30.15
0,0,2,1,0,0,0,1,0,0,0,0,0,0,62914560,31457280,0,7864320,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,30.94,30.29,31.14
0,0,2,1,0,0,0,1,0,0,0,0,0,0,65011712,32505856,0,8126464,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,31.47,30.85,31.74
0,0,2,1,0,0,0,1,0,0,0,0,0,0,67108864,33554432,0,8388608,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,34.21,33.21,33.53
0,0,2,1,0,0,0,1,0,0,0,0,0,0,69206016,34603008,0,8650752,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,35.50,33.93,34.43
0,0,2,1,0,0,0,1,0,0,0,0,0,0,71303168,35651584,0,8912896,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,36.19,32.65,33.25
0,0,2,1,0,0,0,1,0,0,0,0,0,0,73400320,36700160,0,9175040,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,35.37,33.76,36.04
0,0,2,1,0,0,0,1,0,0,0,0,0,0,75497472,37748736,0,9437184,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,36.41,34.59,34.88
0,0,2,1,0,0,0,1,0,0,0,0,0,0,77594624,38797312,0,9699328,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,37.46,35.68,36.06
0,0,2,1,0,0,0,1,0,0,0,0,0,0,79691776,39845888,0,9961472,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,39.69,37.09,37.19
0,0,2,1,0,0,0,1,0,0,0,0,0,0,81788928,40894464,0,10223616,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,39.95,37.25,38.62
0,0,2,1,0,0,0,1,0,0,0,0,0,0,83886080,41943040,0,10485760,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,40.90,38.54,39.31
0,0,2,1,0,0,0,1,0,0,0,0,0,0,85983232,42991616,0,10747904,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,43.04,39.79,39.88
0,0,2,1,0,0,0,1,0,0,0,0,0,0,88080384,44040192,0,11010048,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,44.46,40.22,41.02
0,0,2,1,0,0,0,1,0,0,0,0,0,0,90177536,45088768,0,11272192,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,46.02,41.91,44.30
0,0,2,1,0,0,0,1,0,0,0,0,0,0,92274688,46137344,0,11534336,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,46.19,43.04,42.57
0,0,2,1,0,0,0,1,0,0,0,0,0,0,94371840,47185920,0,11796480,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,48.51,45.05,43.42
0,0,2,1,0,0,0,1,0,0,0,0,0,0,96468992,48234496,0,12058624,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,49.29,45.45,43.29
0,0,2,1,0,0,0,1,0,0,0,0,0,0,98566144,49283072,0,12320768,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,50.87,46.30,46.03
0,0,2,1,0,0,0,1,0,0,0,0,0,0,100663296,50331648,0,12582912,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,48.98,47.32,46.95
0,0,2,1,0,0,0,1,0,0,0,0,0,0,102760448,51380224,0,12845056,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,51.90,47.53,47.40
0,0,2,1,0,0,0,1,0,0,0,0,0,0,104857600,52428800,0,13107200,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,52.26,48.19,49.49
0,0,2,1,0,0,0,1,0,0,0,0,0,0,106954752,53477376,0,13369344,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,54.08,50.45,51.68
0,0,2,1,0,0,0,1,0,0,0,0,0,0,109051904,54525952,0,13631488,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,54.26,51.57,50.99
0,0,2,1,0,0,0,1,0,0,0,0,0,0,111149056,55574528,0,13893632,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,55.94,54.13,51.26
0,0,2,1,0,0,0,1,0,0,0,0,0,0,113246208,56623104,0,14155776,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,57.70,54.56,53.37
0,0,2,1,0,0,0,1,0,0,0,0,0,0,115343360,57671680,0,14417920,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,58.25,55.74,53.30
0,0,2,1,0,0,0,1,0,0,0,0,0,0,117440512,58720256,0,14680064,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,59.47,56.30,54.21
0,0,2,1,0,0,0,1,0,0,0,0,0,0,119537664,59768832,0,14942208,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,59.45,58.16,55.44
0,0,2,1,0,0,0,1,0,0,0,0,0,0,121634816,60817408,0,15204352,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,59.12,57.83,56.02
0,0,2,1,0,0,0,1,0,0,0,0,0,0,123731968,61865984,0,15466496,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,59.75,58.42,59.73
0,0,2,1,0,0,0,1,0,0,0,0,0,0,125829120,62914560,0,15728640,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,62.05,60.33,58.47
0,0,2,1,0,0,0,1,0,0,0,0,0,0,127926272,63963136,0,15990784,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,62.52,60.11,60.71
0,0,2,1,0,0,0,1,0,0,0,0,0,0,130023424,65011712,0,16252928,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,63.20,61.27,60.66
0,0,2,1,0,0,0,1,0,0,0,0,0,0,132120576,66060288,0,16515072,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,65.91,61.22,61.32
0,0,2,1,0,0,0,1,0,0,0,0,0,0,134217728,67108864,0,16777216,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,70.87,66.29,61.96
1,1.00,64.00,1.00,0.00,0.00,0.00,128.00,0.00,0.00,1.00,0.00,0.00,0.00,16384.00,256.00,0.00,64.00,1.00,1.00,64.00,1.00,1.00,64.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,1.63,1.77,1.11
1,1.00,128.00,1.00,0.00,0.00,0.00,256.00,0.00,0.00,1.00,0.00,0.00,0.00,65536.00,512.00,0.00,128.00,1.00,1.00,64.00,1.00,1.00,128.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,1.82,1.83,1.60
1,1.00,192.00,1.00,0.00,0.00,0.00,384.00,0.00,0.00,1.00,0.00,0.00,0.00,147456.00,768.00,0.00,192.00,1.00,1.00,64.00,1.00,1.00,192.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,1.59,1.75,1.42
1,1.00,256.00,1.00,0.00,0.00,0.00,512.00,0.00,0.00,1.00,0.00,0.00,0.00,262144.00,1024.00,0.00,256.00,1.00,1.00,64.00,1.00,1.00,256.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,1.96,2.03,1.70
1,1.00,320.00,1.00,0.00,0.00,0.00,640.00,0.00,0.00,1.00,0.00,0.00,0.00,409600.00,1280.00,0.00,320.00,1.00,1.00,64.00,1.00,1.00,320.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,1.96,2.31,1.55
1,1.00,384.00,1.00,0.00,0.00,0.00,768.00,0.00,0.00,1.00,0.00,0.00,0.00,589824.00,1536.00,0.00,384.00,1.00,1.00,64.00,1.00,1.00,384.00,0.0625,1.00,0.00,1.00,0.00,0.00,1.00,2.23,2.54,1.78
