Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Num groups,Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Miss Ratio,Tahiti Compute units,Devastator compute units,Tahit batch count,Devastator batch count,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,29360128,14680064,0,3670016,1,1,128,1,1,28672,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,14.37,14.19,13.41
0,0,2,1,0,0,0,1,0,0,0,0,0,0,30408704,15204352,0,3801088,1,1,128,1,1,29696,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,14.89,14.88,14
0,0,2,1,0,0,0,1,0,0,0,0,0,0,31457280,15728640,0,3932160,1,1,128,1,1,30720,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,15.09,14.72,14.53
0,0,2,1,0,0,0,1,0,0,0,0,0,0,32505856,16252928,0,4063232,1,1,128,1,1,31744,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,15.4,15.23,15
0,0,2,1,0,0,0,1,0,0,0,0,0,0,33554432,16777216,0,4194304,1,1,128,1,1,32768,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,16.07,15.82,16.51
0,0,2,1,0,0,0,1,0,0,0,0,0,0,34603008,17301504,0,4325376,1,1,128,1,1,33792,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,16.46,16.17,15.77
0,0,2,1,0,0,0,1,0,0,0,0,0,0,35651584,17825792,0,4456448,1,1,128,1,1,34816,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,17.01,16.64,16.43
0,0,2,1,0,0,0,1,0,0,0,0,0,0,36700160,18350080,0,4587520,1,1,128,1,1,35840,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,17.22,16.96,16.44
0,0,2,1,0,0,0,1,0,0,0,0,0,0,37748736,18874368,0,4718592,1,1,128,1,1,36864,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,17.88,17.69,16.74
0,0,2,1,0,0,0,1,0,0,0,0,0,0,38797312,19398656,0,4849664,1,1,128,1,1,37888,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,18.42,18.03,17.47
0,0,2,1,0,0,0,1,0,0,0,0,0,0,39845888,19922944,0,4980736,1,1,128,1,1,38912,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,18.85,18.6,17.6
0,0,2,1,0,0,0,1,0,0,0,0,0,0,40894464,20447232,0,5111808,1,1,128,1,1,39936,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,19.37,18.67,18.24
0,0,2,1,0,0,0,1,0,0,0,0,0,0,41943040,20971520,0,5242880,1,1,128,1,1,40960,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,19.56,19.29,18.63
0,0,2,1,0,0,0,1,0,0,0,0,0,0,42991616,21495808,0,5373952,1,1,128,1,1,41984,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,19.71,19.82,19.24
0,0,2,1,0,0,0,1,0,0,0,0,0,0,44040192,22020096,0,5505024,1,1,128,1,1,43008,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,20.7,20.36,19.29
0,0,2,1,0,0,0,1,0,0,0,0,0,0,45088768,22544384,0,5636096,1,1,128,1,1,44032,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,21.56,21.89,19.89
0,0,2,1,0,0,0,1,0,0,0,0,0,0,46137344,23068672,0,5767168,1,1,128,1,1,45056,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,22.39,22.01,22.25
0,0,2,1,0,0,0,1,0,0,0,0,0,0,47185920,23592960,0,5898240,1,1,128,1,1,46080,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,22.81,22.39,20.99
0,0,2,1,0,0,0,1,0,0,0,0,0,0,48234496,24117248,0,6029312,1,1,128,1,1,47104,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,23.45,22.92,21.08
0,0,2,1,0,0,0,1,0,0,0,0,0,0,49283072,24641536,0,6160384,1,1,128,1,1,48128,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,23.53,22.94,21.61
0,0,2,1,0,0,0,1,0,0,0,0,0,0,50331648,25165824,0,6291456,1,1,128,1,1,49152,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,23.93,23.53,22.44
0,0,2,1,0,0,0,1,0,0,0,0,0,0,51380224,25690112,0,6422528,1,1,128,1,1,50176,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,24.84,24.21,23.07
0,0,2,1,0,0,0,1,0,0,0,0,0,0,52428800,26214400,0,6553600,1,1,128,1,1,51200,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,24.91,24.35,23.27
0,0,2,1,0,0,0,1,0,0,0,0,0,0,53477376,26738688,0,6684672,1,1,128,1,1,52224,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,25.7,25.26,23.56
0,0,2,1,0,0,0,1,0,0,0,0,0,0,54525952,27262976,0,6815744,1,1,128,1,1,53248,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,26.21,25.57,23.92
0,0,2,1,0,0,0,1,0,0,0,0,0,0,55574528,27787264,0,6946816,1,1,128,1,1,54272,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,26.37,25.97,24.42
0,0,2,1,0,0,0,1,0,0,0,0,0,0,56623104,28311552,0,7077888,1,1,128,1,1,55296,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,27.14,26.52,26.23
0,0,2,1,0,0,0,1,0,0,0,0,0,0,57671680,28835840,0,7208960,1,1,128,1,1,56320,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,27.51,26.91,24.95
0,0,2,1,0,0,0,1,0,0,0,0,0,0,58720256,29360128,0,7340032,1,1,128,1,1,57344,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,27.92,27.35,25.81
0,0,2,1,0,0,0,1,0,0,0,0,0,0,59768832,29884416,0,7471104,1,1,128,1,1,58368,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,28.45,27.71,27.73
0,0,2,1,0,0,0,1,0,0,0,0,0,0,60817408,30408704,0,7602176,1,1,128,1,1,59392,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,29.34,27.87,28.05
